StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,OS marks,DBMS marks,ML marks,Python marks,OS GPA,DBMS GPA,ML GPA,Python GPA,Overall GPA
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.70361180323236,4,99,84,64,66,4,3,1,1,2.25
1049,16,0,1,2,17.9017034553262,17,0,3,0,0,1,0,2.09988515672058,3,58,93,53,84,0,4,0,3,1.75
1050,16,1,1,1,19.4410694924697,16,0,4,1,0,0,0,2.46104696290809,3,75,83,78,97,2,3,2,4,2.75
1051,17,1,2,2,17.1864990214095,5,0,3,0,0,0,0,2.93547719169463,2,51,82,58,54,0,3,0,0,0.75
1052,16,1,2,0,2.20035442255087,12,1,1,1,0,1,0,1.98637805921874,4,69,70,76,97,1,2,2,4,2.25
1053,17,1,0,1,18.9485599611958,22,0,4,0,0,1,0,1.57154419139928,4,77,66,75,81,2,1,2,3,2
1054,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,1.66431068966108,4,96,71,68,52,4,2,1,0,1.75
1055,17,0,0,0,0.186205815247073,29,1,2,1,1,0,0,0.756259166574192,4,56,97,77,96,0,4,2,4,2.5
1056,18,0,0,1,8.84787481496387,25,0,2,0,1,0,0,0.802769539234207,4,93,86,66,84,4,3,1,3,2.75
1057,18,1,0,4,0.921383393509351,20,0,2,0,1,1,0,1.34238717795773,4,57,64,92,63,0,1,4,1,1.5
1058,15,0,0,4,10.8775584232223,29,0,3,1,0,0,0,0.286571288286622,4,96,84,90,97,4,3,4,4,3.75
1059,17,0,0,1,6.77108054874102,9,1,3,0,1,0,0,2.61383869367367,2,84,77,91,80,3,2,4,3,3
1060,15,1,3,0,9.46869867188097,23,0,3,0,1,0,0,0.929012554625936,4,63,56,99,80,1,0,4,3,2
1061,17,1,1,1,12.2634072148623,10,0,0,1,0,1,0,1.89275869592659,4,66,81,69,66,1,3,1,1,1.5
1062,17,0,0,1,17.3760219163564,12,0,2,0,0,1,0,2.33126154930875,3,85,60,94,73,3,1,4,2,2.5
1063,15,0,1,3,13.2380315294385,11,0,3,0,1,0,0,2.23423847260023,3,99,59,89,72,4,0,3,2,2.25
1064,15,0,0,1,8.68097736956361,8,0,2,0,1,0,0,2.38582821907646,3,89,58,88,67,3,0,3,1,1.75
1065,17,0,0,2,16.3885570734073,3,1,4,0,0,0,0,3.3473567435078,1,53,63,98,99,0,1,4,4,2.25
1066,16,0,1,1,18.1116427514626,6,1,3,1,0,0,0,3.26185530733329,1,51,62,72,63,0,1,2,1,1
1067,18,0,0,4,2.39519932864394,23,0,3,0,1,0,0,1.03962387914771,4,55,74,96,99,0,2,4,4,2.5
1068,15,1,0,1,10.6386595510558,28,0,0,0,1,0,0,0.0278186247324679,4,91,51,81,64,4,0,3,1,2
1069,18,1,3,2,5.69023919484888,21,1,3,0,0,1,0,1.32996453787687,4,53,84,96,64,0,3,4,1,2
1070,16,1,2,1,0.941223957538948,1,0,4,0,0,1,0,3.28391652189738,1,78,56,82,55,2,0,3,0,1.25
1071,16,0,1,2,13.3709339022797,6,0,2,1,0,0,0,2.93745418231686,2,67,70,95,76,1,2,4,2,2.25
1072,16,1,1,1,17.2554155491845,28,0,3,0,0,1,1,0.73886820280526,4,75,67,54,64,2,1,0,1,1
1073,15,0,1,1,3.25805308954788,8,0,2,1,1,0,0,2.55680166283341,2,93,52,92,99,4,0,4,4,3
1074,16,0,0,3,16.248273152478,4,1,2,0,0,0,0,3.30092856897079,1,83,91,97,85,3,4,4,3,3.5
1075,15,1,0,3,17.0679146707388,14,0,3,1,0,1,0,2.20068294656056,3,59,88,83,57,0,3,3,0,1.5
1076,16,0,0,3,18.2868088533296,17,0,3,0,1,0,0,1.85586557316819,4,85,90,89,64,3,4,3,1,2.75
1077,18,0,0,2,5.30570178172104,3,0,3,0,0,0,0,2.73440149441999,2,63,98,60,52,1,4,1,0,1.5
1078,18,1,1,3,18.0790613037977,18,1,1,1,1,0,0,2.13173729718722,3,80,60,99,96,3,1,4,4,3
1079,17,1,0,0,6.41325509472864,19,0,1,0,0,0,0,0.979769910775286,4,97,88,52,62,4,3,0,1,2
1080,18,1,3,1,11.04676026911,25,0,3,0,1,0,0,0.994325023551287,4,64,73,82,90,1,2,3,4,2.5
1081,17,0,3,1,1.01014941664564,6,0,1,0,1,0,0,2.07469997678133,3,57,95,60,83,0,4,1,3,2
1082,18,1,2,2,0.877621767374872,25,0,2,0,0,0,0,0.500508035804656,4,63,68,65,73,1,1,1,2,1.25
1083,15,1,1,1,14.407464254644,7,0,0,1,1,0,0,2.53243841758767,2,72,53,67,89,2,0,1,3,1.5
1084,18,0,2,1,8.88959955955582,16,0,1,0,1,0,0,1.46337803578569,4,89,75,79,81,3,2,2,3,2.5
1085,17,1,0,2,5.12584750738435,12,0,3,1,1,0,0,2.34283677319185,3,70,87,97,81,2,3,4,3,3
1086,17,1,2,3,3.8082699204982,23,0,3,0,0,0,0,1.1588463344506,4,65,91,59,79,1,4,0,2,1.75
1087,16,1,0,1,13.3990698171843,20,1,1,1,0,1,1,1.52374874473373,4,94,81,67,98,4,3,1,4,3
1088,15,0,2,1,0.0080308805067974,27,0,1,0,0,1,0,0,4,67,88,87,62,1,3,3,1,2
1089,18,0,0,1,16.117823383937,22,0,0,1,0,1,0,1.05862201444398,4,96,94,68,50,4,4,1,0,2.25
1090,16,0,2,1,1.58499212259857,10,0,2,0,0,1,1,2.22974018417476,3,73,95,85,83,2,4,3,3,3
1091,18,0,3,1,3.82979229816238,26,0,1,0,0,0,1,0.194743280745515,4,75,85,62,64,2,3,1,1,1.75
1092,18,1,0,2,7.72472790598179,0,0,2,1,1,0,0,3.50692007136921,0,74,89,95,93,2,3,4,4,3.25
1093,16,0,0,2,9.69717479432207,1,1,3,0,0,0,0,3.55228694335094,0,94,86,52,63,4,3,0,1,2
1094,16,0,3,2,7.09990231627883,16,1,3,0,1,0,0,2.23849135429023,3,90,82,59,78,4,3,0,2,2.25
1095,16,1,0,1,6.41424329968587,4,0,1,1,1,0,0,2.70847234385687,2,78,85,87,83,2,3,3,3,2.75
1096,16,1,2,3,19.2783202414637,29,0,3,0,0,0,1,0.732908233901386,4,64,52,50,67,1,0,0,1,0.5
1097,16,1,1,1,12.8315936248678,29,0,4,0,0,1,0,0.96548244530453,4,94,58,76,56,4,0,2,0,1.5
1098,18,0,0,2,0.468659107347764,5,0,2,0,1,0,0,2.55523285993809,2,50,57,95,78,0,0,4,2,1.5
1099,16,0,0,3,8.60351816888626,25,0,2,1,0,1,1,0.744322299921235,4,74,82,57,80,2,3,0,3,2
1100,15,0,0,1,17.5001739948794,24,0,2,0,0,0,0,0.722056581395191,4,56,55,95,74,0,0,4,2,1.5
1101,17,1,2,1,6.02912372821335,23,1,1,1,1,0,1,1.27122952983734,4,58,90,91,87,0,4,4,3,2.75
1102,16,1,0,3,1.89112689548776,6,0,3,1,0,1,1,2.52614214142023,2,73,88,66,63,2,3,1,1,1.75
1103,16,0,1,1,15.1676954317983,27,0,3,1,1,0,0,0.942415395359523,4,50,53,58,57,0,0,0,0,0
1104,18,1,0,2,12.1202766387216,20,1,2,0,1,0,0,1.51563909839502,4,93,62,55,76,4,1,0,2,1.75
1105,16,1,1,0,11.40625015653,29,0,3,1,0,0,0,0.648273926708191,4,57,98,92,51,0,4,4,0,2
1106,16,1,2,2,1.07153119214815,14,0,3,0,1,1,1,2.04885008213886,3,73,51,74,66,2,0,2,1,1.25
1107,16,0,3,1,2.80998019591034,18,0,0,1,0,0,1,0.842295999257138,4,60,54,88,86,1,0,3,3,1.75
1108,18,1,0,0,12.4509879242622,15,0,1,0,1,0,0,1.46418792369064,4,66,93,98,63,1,4,4,1,2.5
1109,16,1,2,2,4.15647682917671,24,1,3,1,1,0,0,1.48794686516979,4,57,76,77,74,0,2,2,2,1.5
1110,17,0,2,1,10.0814015949684,12,1,4,0,0,0,0,2.58756579637063,2,84,81,82,79,3,3,3,2,2.75
1111,18,0,1,1,10.8976337205878,4,1,3,0,0,0,0,3.22080697819487,1,84,70,86,78,3,2,3,2,2.5
1112,17,1,3,0,5.67014380541878,2,1,4,0,0,1,0,3.54515943180031,0,82,57,58,69,3,0,0,1,1
1113,18,1,0,1,18.9685031108298,2,0,2,0,0,0,0,3.08959895307464,1,54,87,67,70,0,3,1,2,1.5
1114,16,0,0,1,16.8492821367115,18,1,1,0,1,1,0,1.9199564399182,4,91,57,70,71,4,0,2,2,2
1115,17,0,2,0,14.4474701526559,13,1,2,0,0,0,0,2.19859318458696,3,88,99,51,84,3,4,0,3,2.5
1116,18,1,0,3,1.55987732818818,15,0,0,0,0,0,1,0.878212616762776,4,90,52,92,86,4,0,4,3,2.75
1117,15,1,2,0,2.12260038618038,21,0,3,1,0,1,0,1.3403686475124,4,77,93,87,65,2,4,3,1,2.5
1118,16,1,2,2,9.85562691729911,16,0,4,0,0,0,0,1.8195113357139,4,56,52,89,99,0,0,3,4,1.75
1119,18,1,0,1,3.21426698381971,26,0,3,0,1,0,0,0.619350931467534,4,58,71,85,98,0,2,3,4,2.25
1120,15,0,2,1,19.5653092705894,3,0,2,1,0,1,1,3.61946086969351,0,57,55,99,92,0,0,4,4,2
1121,18,1,0,3,3.17040468054818,12,1,1,1,1,0,0,2.17490279620988,3,61,51,92,66,1,0,4,1,1.5
1122,15,1,1,1,9.74935670927948,7,1,1,0,1,1,0,2.97440601491104,2,83,72,86,65,3,2,3,1,2.25
1123,16,0,1,4,7.2824211368301,18,0,2,0,0,0,0,0.980735843748802,4,82,93,64,51,3,4,1,0,2
1124,17,1,3,1,12.7877284290819,4,0,3,0,0,0,0,3.1016738090151,1,97,51,77,53,4,0,2,0,1.5
1125,15,0,0,2,2.58072817778849,1,1,2,1,0,1,0,3.49825734177332,1,72,87,67,70,2,3,1,2,2
1126,18,1,0,2,8.60632856084781,14,0,4,1,0,0,0,2.59055344505298,2,73,66,83,88,2,1,3,3,2.25
1127,16,1,1,3,5.49410065614287,1,0,3,1,0,0,0,3.53500375818431,0,86,84,71,83,3,3,2,3,2.75
1128,15,0,2,2,17.7550304934337,10,1,1,0,1,0,0,2.81992174529318,2,84,83,60,79,3,3,1,2,2.25
1129,18,0,1,2,0.811714242693901,12,1,1,1,1,0,0,2.01659677451766,3,93,72,62,55,4,2,1,0,1.75
1130,18,1,0,1,18.2745498801291,22,1,3,0,0,0,0,1.37118503889171,4,89,79,53,66,3,2,0,1,1.5
1131,18,1,0,1,16.65988277106,9,0,1,0,0,0,0,2.1047955879699,3,71,57,71,88,2,0,2,3,1.75
1132,15,1,0,3,5.9514143288163,2,0,3,0,0,0,0,3.03043908869652,1,76,71,56,74,2,2,0,2,1.5
1133,15,0,2,1,15.785813093542,4,1,2,0,1,0,0,3.58242187231196,0,84,93,92,54,3,4,4,0,2.75
1134,15,1,0,1,0.624271206774951,2,0,1,1,0,0,0,2.42654670603924,3,50,85,73,54,0,3,2,0,1.25
1135,17,0,0,2,19.3373110058678,5,1,2,1,0,0,0,3.16143627025836,1,84,54,53,69,3,0,0,1,1
1136,15,0,3,1,10.5318988517957,12,0,2,1,0,0,0,2.12263852962886,3,86,62,77,65,3,1,2,1,1.75
1137,15,1,0,4,6.0656205213089,9,0,3,0,1,0,0,2.20486058099731,3,96,78,64,90,4,2,1,4,2.75
1138,15,0,3,2,7.25166425189354,18,0,0,1,0,1,1,1.18298750049804,4,63,80,50,86,1,3,0,3,1.75
1139,17,1,1,2,1.32810706920994,7,0,3,1,0,0,0,2.7387957163436,2,52,96,52,89,0,4,0,3,1.75
1140,15,1,2,3,19.7869902808407,17,1,3,0,0,0,0,2.2379013009826,3,50,65,63,58,0,1,1,0,0.5
1141,18,1,0,0,0.785838903013849,2,0,3,1,0,0,0,3.13948154638038,1,54,91,87,54,0,4,3,0,1.75
1142,15,1,0,1,13.0981424629571,23,1,0,1,1,0,0,1.04604477108009,4,75,79,99,91,2,2,4,4,3
1143,18,1,2,2,8.85471855412916,23,1,3,0,0,0,0,0.816458245213799,4,63,65,50,51,1,1,0,0,0.5
1144,18,0,2,1,18.9783243637743,16,0,2,1,0,1,0,2.03354462052118,3,88,61,87,58,3,1,3,0,1.75
1145,18,0,2,2,4.9199948061359,7,1,2,1,1,0,0,2.43207852278223,3,76,66,87,92,2,1,3,4,2.5
1146,17,1,0,3,10.6417364787602,9,0,3,1,0,0,0,2.6597713195279,2,58,65,70,85,0,1,2,3,1.5
1147,17,1,2,2,9.64712417165506,1,1,2,1,0,0,1,3.58888793976501,0,64,61,97,71,1,1,4,2,2
1148,17,0,2,1,14.057328881002,11,0,3,0,1,0,0,2.314587627811,3,64,57,78,71,1,0,2,2,1.25
1149,15,0,1,4,1.36020463904841,22,0,1,1,1,0,1,1.00722582021403,4,75,69,54,71,2,1,0,2,1.25
1150,18,0,2,2,3.87578260046709,5,0,3,1,0,0,0,2.88161232146052,2,91,52,98,83,4,0,4,3,2.75
1151,17,0,2,2,4.29129640185699,1,0,1,0,1,1,0,2.80450492891168,2,62,65,59,78,1,1,0,2,1
1152,17,1,1,1,14.7630150968337,20,1,3,0,1,0,0,1.76292112409986,4,81,79,77,87,3,2,2,3,2.5
1153,15,1,0,3,3.7827739265348,22,0,4,1,0,0,1,1.11991126295732,4,88,94,70,95,3,4,2,4,3.25
1154,17,0,0,2,11.4698352778195,23,0,2,0,0,0,0,1.03065750571987,4,98,72,99,82,4,2,4,3,3.25
1155,15,1,0,2,4.30487641001907,2,0,2,1,0,0,0,3.07561935366143,1,81,77,56,67,3,2,0,1,1.5
1156,16,0,0,3,17.2324990016795,16,1,3,1,1,0,0,2.63143406512441,2,53,89,52,56,0,3,0,0,0.75
1157,17,1,0,1,18.8437090897927,28,0,0,0,1,1,1,0.503066907327914,4,79,54,94,50,2,0,4,0,1.5
1158,16,0,0,2,10.3698594988448,6,0,2,0,0,0,0,2.78423783714281,2,86,69,96,82,3,1,4,3,2.75
1159,15,1,0,3,7.04617768418356,28,0,2,0,0,0,0,0.247626765086563,4,72,89,69,50,2,3,1,0,1.5
1160,18,0,0,1,4.68115550034998,20,0,3,0,0,0,1,1.18954876961878,4,88,93,68,73,3,4,1,2,2.5
1161,17,0,2,2,0.995620030460875,4,1,3,1,0,0,1,3.37599400880283,1,94,50,84,53,4,0,3,0,1.75
1162,15,1,3,3,5.3700015239499,22,1,3,0,0,0,0,1.29357355644595,4,64,79,53,53,1,2,0,0,0.75
1163,18,0,0,2,13.0847155989063,0,1,3,0,0,1,1,3.71858690428696,0,92,70,54,67,4,2,0,1,1.75
1164,18,1,3,2,10.6723386261842,7,0,3,1,0,0,0,2.67055961481982,2,78,69,50,76,2,1,0,2,1.25
1165,16,1,1,3,18.8808255656185,11,1,2,1,0,0,0,2.36964801344961,3,85,55,53,92,3,0,0,4,1.75
1166,15,0,0,3,7.92554524983401,13,0,2,0,1,0,0,1.62448682022215,4,62,71,61,81,1,2,1,3,1.75
1167,18,1,0,1,13.8772668465678,15,1,2,1,1,0,0,2.53747682781435,2,81,67,76,82,3,1,2,3,2.25
1168,17,1,1,0,9.78645494950242,9,0,4,0,1,0,0,2.29841792850947,3,56,57,91,77,0,0,4,2,1.5
1169,17,1,2,2,10.2515243184842,14,0,3,1,0,0,0,2.25980415049611,3,71,88,72,91,2,3,2,4,2.75
1170,16,1,2,2,5.35548629208235,20,0,2,0,1,0,0,1.32134330086988,4,77,81,74,90,2,3,2,4,2.75
1171,18,1,0,2,9.09901553683999,23,0,3,0,1,0,0,0.949974228123856,4,51,82,70,85,0,3,2,3,2
1172,15,0,0,2,9.41569994025414,25,0,2,1,0,0,1,0.818786616073051,4,91,65,73,55,4,1,2,0,1.75
1173,17,1,0,1,14.1328504349786,14,1,3,0,0,0,0,2.33922451275359,3,94,61,74,65,4,1,2,1,2
1174,18,1,0,2,18.8127999837222,9,0,2,0,1,0,0,2.68277628796337,2,55,87,94,83,0,3,4,3,2.5
1175,18,1,0,1,6.58642554965008,20,1,1,1,0,0,0,1.54383747108562,4,77,83,95,72,2,3,4,2,2.75
1176,16,1,0,2,0.844009371625968,27,0,3,1,0,0,0,0.196901104823622,4,77,63,81,99,2,1,3,4,2.5
1177,17,1,2,2,9.92590251001279,6,0,3,0,0,0,0,2.74861025744808,2,93,85,81,91,4,3,3,4,3.5
1178,17,0,3,1,10.8892266429833,25,1,2,1,0,1,0,1.10489378769994,4,93,82,54,73,4,3,0,2,2.25
1179,15,1,0,1,3.3688110226383,2,0,2,1,0,0,0,2.55343981144393,2,69,72,85,98,1,2,3,4,2.5
1180,17,0,3,2,15.2092921255213,1,0,3,1,0,0,1,3.27423345880987,1,79,99,95,62,2,4,4,1,2.75
1181,15,0,0,2,19.6985821688298,5,1,3,0,0,0,0,3.18606037803891,1,60,94,91,67,1,4,4,1,2.5
1182,17,0,0,1,18.9154943401692,20,0,3,1,0,0,0,1.72211575024058,4,77,51,98,62,2,0,4,1,1.75
1183,16,0,0,4,3.94212077647304,8,0,2,1,1,0,0,2.33804635759037,3,74,90,91,98,2,4,4,4,3.5
1184,17,1,1,2,17.5072647980152,9,1,4,1,1,0,0,3.27399874843433,1,88,70,88,86,3,2,3,3,2.75
1185,15,0,3,4,14.0898727282336,3,0,3,0,0,0,0,2.99350239120527,2,82,51,65,92,3,0,1,4,2
1186,15,0,1,2,9.07693127613823,26,1,3,1,0,0,0,0.896397899023395,4,50,76,82,88,0,2,3,3,2
1187,16,1,0,2,10.8122198864945,2,0,3,0,0,0,0,2.96105525880359,2,76,58,98,91,2,0,4,4,2.5
1188,17,1,1,3,16.9920034996491,8,0,1,1,0,0,0,2.67435109545209,2,62,50,70,66,1,0,2,1,1
1189,17,1,0,2,9.60269879276746,23,0,0,1,1,0,0,1.21787315133336,4,90,60,58,64,4,1,0,1,1.5
1190,16,0,2,2,7.46414738210253,21,1,3,0,0,0,0,1.36559111032951,4,52,52,55,67,0,0,0,1,0.25
1191,17,1,1,1,9.86494986051971,16,0,2,0,0,0,1,1.52227484468542,4,88,72,94,72,3,2,4,2,2.75
1192,17,1,0,2,11.5825960807009,13,1,3,0,0,0,0,2.2314023973705,3,55,75,84,79,0,2,3,2,1.75
1193,15,0,1,1,3.78155307556697,9,0,2,1,0,0,0,2.13526635489009,3,57,53,88,83,0,0,3,3,1.5
1194,17,1,1,1,18.0181546053398,12,0,2,0,0,0,0,2.25569891496314,3,76,67,71,53,2,1,2,0,1.25
1195,17,1,0,0,13.4837389765922,11,1,1,1,0,1,0,2.7511457876117,2,58,55,90,52,0,0,4,0,1
1196,16,1,1,0,12.6653783467497,26,0,3,1,1,0,0,0.897634158616403,4,86,84,54,56,3,3,0,0,1.5
1197,16,1,0,4,1.98992452361276,0,0,1,1,0,0,1,3.1173544347855,1,82,71,91,67,3,2,4,1,2.5
1198,18,0,2,1,12.0834787634518,27,0,3,1,0,1,0,1.287595131258,4,91,92,72,91,4,4,2,4,3.5
1199,15,1,2,2,2.41921324476984,21,0,2,0,0,0,0,0.571053098033025,4,93,64,66,56,4,1,1,0,1.5
1200,17,1,2,3,1.57395350390798,28,0,3,1,0,0,0,0.581355799494971,4,73,71,61,89,2,2,1,3,2
1201,17,0,1,2,10.5462179128478,18,0,1,0,0,1,0,1.64346240407395,4,64,86,72,55,1,3,2,0,1.5
1202,18,1,1,1,8.05571068092989,18,0,1,0,0,0,0,1.23484404078202,4,81,91,65,71,3,4,1,2,2.5
1203,17,0,0,2,11.7762054031244,5,0,3,0,1,0,1,2.96809361957976,2,81,61,52,50,3,1,0,0,1
1204,15,1,2,2,1.78444336114477,12,0,2,1,0,0,0,2.00929847972231,3,73,96,79,53,2,4,2,0,2
1205,18,0,0,2,8.61966125694516,18,0,1,1,0,0,0,1.14608603412959,4,90,98,71,95,4,4,2,4,3.5
1206,15,0,0,2,3.49573430090315,12,1,4,0,0,0,0,2.19236319785528,3,98,91,58,98,4,4,0,4,3
1207,18,0,0,4,19.7420017184823,26,1,1,1,0,0,0,0.94573087329995,4,98,87,78,99,4,3,2,4,3.25
1208,18,0,0,2,11.2230042487034,25,0,2,1,0,0,0,0.56725002849029,4,61,67,96,92,1,1,4,4,2.5
1209,16,1,1,1,13.7487372188173,21,0,1,0,0,0,0,0.970764347092829,4,88,94,86,78,3,4,3,2,3
1210,15,0,0,2,6.50836561365215,20,1,2,1,0,1,1,1.65606012550046,4,51,84,72,70,0,3,2,2,1.75
1211,17,1,2,0,1.89477829558688,3,0,2,0,0,1,0,2.83931324915603,2,52,79,62,75,0,2,1,2,1.25
1212,17,0,0,3,19.5174172556707,23,0,1,0,0,1,1,0.189818059909026,4,98,73,81,63,4,2,3,1,2.5
1213,15,0,0,1,5.72518070766366,1,0,3,1,0,0,0,3.25829468502287,1,86,91,95,58,3,4,4,0,2.75
1214,17,0,1,1,8.47616370347148,14,1,2,0,0,0,0,1.92005585265889,4,98,79,96,96,4,2,4,4,3.5
1215,17,1,0,3,12.9972784340515,11,0,3,0,0,0,0,2.02177149436937,3,66,63,97,61,1,1,4,1,1.75
1216,15,0,0,2,0.493945953722225,29,1,1,1,0,0,0,0.125933074624949,4,98,55,72,91,4,0,2,4,2.5
1217,18,1,2,1,16.2051826103457,26,1,2,1,0,0,0,1.28701341239022,4,51,52,94,55,0,0,4,0,1
1218,15,1,0,2,10.7315638005724,6,0,0,1,0,1,0,2.59142670322931,2,51,65,66,69,0,1,1,1,0.75
1219,18,1,2,3,5.56434374137644,19,1,3,0,0,0,0,1.4633796485356,4,77,56,89,73,2,0,3,2,1.75
